Basic information,,,,Log2 Fold Change,,,,,,,,,Adjusted P-value,,,,,,,,,Normalized Peak Area: Samples,,,,,,,,,,,,,,,,,,,,,,,,Norm. Peak Area: Blanks (noise),,,,,,,Group CV [%],,,,,,,,
ID,Name,Calc. MW,RT [min],"(P40, KO) / (P40, WT)","(P2, KO) / (P2, WT)","(E14_5, KO) / (E14_5, WT)","(P40, WT) / (P2, WT)","(P40, WT) / (E14_5, WT)","(P2, WT) / (E14_5, WT)","(P40, KO) / (P2, KO)","(P40, KO) / (E14_5, KO)","(P2, KO) / (E14_5, KO)","(P40, KO) / (P40, WT)","(P2, KO) / (P2, WT)","(E14_5, KO) / (E14_5, WT)","(P40, WT) / (P2, WT)","(P40, WT) / (E14_5, WT)","(P2, WT) / (E14_5, WT)","(P40, KO) / (P2, KO)","(P40, KO) / (E14_5, KO)","(P2, KO) / (E14_5, KO)",S01_P40_WT1,S02_P40_KO1,S03_P40_WT2,S04_P40_KO2,S05_P40_WT3,S06_P40_KO3,S07_P40_WT4,S08_P40_KO4,S09_P2_WT1,S10_P2_KO1,S11_P2_WT2,S12_P2_KO2,S13_P2_WT3,S14_P2_KO3,S15_P2_WT4,S16_P2_KO4,S17_E14_5_WT1,S18_E14_5_KO1,S19_E14_5_WT2,S20_E14_5_KO2,S21_E14_5_WT3,S22_E14_5_KO3,S23_E14_5_WT4,S24_E14_5_KO4,blank01,blank02,blank03,blank04,blank05,blank06,blank07,"E14_5, KO","E14_5, WT","P2, KO","P2, WT","P40, KO","P40, WT",,,
,Cytidine 5'-diphosphocholine,488.1073,4.51,0.57,C115,RP_pos_2020,,13207,C00307,HMDB0001413,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cytidine 5'-diphosphocholine,488.1073,4.51,0.57,C115,RP_neg_2020,,13207,C00307,HMDB0001413,272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A070_RP,Taurocholic acid,515.2918,21.38,0.5,-0.2,0.0,-2.7,0.5,3.2,-2.0,1.1,3.1,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,4.225201849700300000000000000000E-01,1.000000000000000000000000000000E+00,1.150682530007840000000000000000E-01,1.000000000000000000000000000000E+00,2.974719268603510000000000000000E-01,1.609297161885760000000000000000E-01,1.7E+05,3.7E+05,2.1E+05,2.3E+05,6.4E+05,3.4E+07,2.9E+05,3.3E+05,1.5E+06,1.6E+06,1.7E+06,1.3E+06,1.3E+06,1.5E+06,1.6E+06,9.3E+05,1.7E+05,1.7E+05,2.0E+05,1.9E+05,1.6E+05,1.6E+05,1.8E+05,1.6E+05,1.2E+05,1.2E+05,1.2E+05,1.2E+05,1.2E+05,1.2E+05,1.2E+05,8.8,10.3,21.9,9.7,192.8,65.1,,,
,Name,Molecular Weight,RT [min],DeltaMass [ppm],DBID,Reference List Name,mzLogic Score,ChemSpider ID,KEGG,HMDB,Mass List Search Results ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Taurocholic acid,515.2917,21.59,0.20,A041,RP_pos_2020,,6423,C05122,HMDB0000036,667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Taurocholic acid,515.2917,21.62,0.20,A041,RP_neg_2020,,6423,C05122,HMDB0000036,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A071_RP,Uridine 5'-diphosphate glucose,566.0552,4.57,-0.2,-0.1,-0.2,-0.5,-1.1,-0.6,-0.6,-1.1,-0.5,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,1.504135053212180000000000000000E-01,1.748539579831710000000000000000E-04,5.335370509038530000000000000000E-02,5.202836556455980000000000000000E-02,2.452512143682730000000000000000E-04,2.028110518336980000000000000000E-01,8.0E+07,9.9E+07,7.8E+07,7.0E+07,8.5E+07,5.5E+07,7.5E+07,7.2E+07,1.3E+08,1.3E+08,1.1E+08,9.9E+07,9.4E+07,9.4E+07,1.2E+08,1.2E+08,1.9E+08,1.8E+08,1.8E+08,1.2E+08,1.6E+08,1.5E+08,1.4E+08,1.4E+08,1.2E+05,1.2E+05,1.3E+05,1.3E+05,1.1E+05,1.2E+05,1.2E+05,18.0,13.1,14.5,13.0,24.5,5.0,,,
,Name,Molecular Weight,RT [min],DeltaMass [ppm],DBID,Reference List Name,mzLogic Score,ChemSpider ID,KEGG,HMDB,Mass List Search Results ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Uridine 5'-diphosphate glucose,566.0550,4.72,0.36,C078,RP_neg_2020,93.20370438,8308,C00029,HMDB0000286,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A072_RP,L-Glutathione oxidized,612.1523,9.96,-0.2,-0.2,0.1,1.6,1.3,-0.3,1.6,0.9,-0.6,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,1.637308337003710000000000000000E-02,2.054812913752560000000000000000E-02,9.999999999961730000000000000000E-01,4.828386493018070000000000000000E-03,4.678733683148560000000000000000E-02,9.506445053462410000000000000000E-01,1.4E+08,2.1E+08,1.4E+08,1.1E+08,1.3E+08,1.2E+08,9.8E+07,9.3E+07,5.4E+07,3.5E+07,4.4E+07,3.4E+07,4.1E+07,4.3E+07,4.4E+07,4.6E+07,6.7E+07,9.6E+07,2.8E+07,2.5E+07,6.2E+07,6.1E+07,4.9E+07,6.0E+07,3.2E+05,2.9E+05,2.3E+05,2.2E+05,1.9E+05,1.7E+05,1.6E+05,48.1,34.1,14.8,12.4,39.4,16.4,,,
,Name,Molecular Weight,RT [min],DeltaMass [ppm],DBID,Reference List Name,mzLogic Score,ChemSpider ID,KEGG,HMDB,Mass List Search Results ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L-Glutathione oxidized,612.1520,10.04,0.62,B024,RP_pos_2020,90.49647029,58835,C00127,HMDB0003337,377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L-Glutathione oxidized,612.1520,10.04,0.62,B024,RP_neg_2020,90.49647029,58835,C00127,HMDB0003337,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A073_RP,β-Nicotinamide adenine dinucleotide (NAD+),663.1098,9.56,-0.6,0.0,-0.4,-0.2,-1.6,-1.4,-0.8,-1.7,-1.0,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,3.308523110360980000000000000000E-01,5.247728989131430000000000000000E-01,1.000000000000000000000000000000E+00,8.418346989097500000000000000000E-01,9.265292449561790000000000000000E-01,2.8E+06,1.9E+07,3.6E+06,1.6E+06,1.6E+06,8.2E+05,1.8E+06,1.5E+06,4.1E+06,2.8E+06,2.9E+06,2.3E+06,1.9E+06,2.5E+06,2.4E+06,3.0E+06,9.0E+06,7.2E+06,6.8E+06,4.9E+06,7.0E+06,3.0E+06,4.8E+06,5.4E+06,2.2E+05,2.0E+05,2.0E+05,1.9E+05,1.9E+05,1.9E+05,1.9E+05,33.2,24.8,11.4,33.3,153.5,38.0,,,
,Name,Molecular Weight,RT [min],DeltaMass [ppm],DBID,Reference List Name,mzLogic Score,ChemSpider ID,KEGG,HMDB,Mass List Search Results ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,β-Nicotinamide adenine dinucleotide (NAD+),663.1091,9.67,1.02,C051,RP_neg_2020,,5681,C00003,HMDB0000902,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,β-Nicotinamide adenine dinucleotide (NAD+),663.1091,9.53,1.02,C051,RP_pos_2020,,5681,C00003,HMDB0000902,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a074_RP,Putrescine,88.1001,3.12,0.0,0.0,-0.2,-4.9,-4.4,0.5,-4.9,-4.2,0.7,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,3.544764481944180000000000000000E-12,2.733859650289180000000000000000E-12,7.155219439981140000000000000000E-02,3.381208356779060000000000000000E-12,4.478322474759420000000000000000E-12,1.532699452743720000000000000000E-02,7.0E+05,8.4E+05,7.0E+05,6.6E+05,7.1E+05,7.2E+05,5.7E+05,5.9E+05,2.4E+07,2.0E+07,2.1E+07,2.0E+07,1.9E+07,1.6E+07,2.1E+07,2.2E+07,1.4E+07,1.4E+07,1.8E+07,8.3E+06,1.5E+07,1.3E+07,1.1E+07,1.3E+07,2.4E+05,1.7E+05,1.1E+05,1.3E+05,1.1E+05,1.1E+05,1.2E+05,22.0,20.1,12.2,10.7,15.1,10.0,,,
,Name,Molecular Weight,RT [min],DeltaMass [ppm],DBID,Reference List Name,mzLogic Score,ChemSpider ID,KEGG,HMDB,Mass List Search Results ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Putrescine,88.1001,3.09,0.47,A003,RP_pos_2020,,13837702,C00134,HMDB0001414,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a075_RP,Serotonin,176.0951,11.42,0.3,0.5,0.1,2.5,4.4,1.9,2.3,4.7,2.4,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,6.826920412884980000000000000000E-07,1.111038288397560000000000000000E-10,5.226936489659910000000000000000E-05,8.899535772003900000000000000000E-07,4.609801429467100000000000000000E-11,7.375921570658060000000000000000E-06,3.6E+06,6.8E+06,3.8E+06,3.8E+06,3.2E+06,3.7E+06,2.4E+06,4.6E+06,6.2E+05,1.0E+06,5.7E+05,6.5E+05,4.1E+05,8.9E+05,6.9E+05,8.0E+05,1.7E+05,3.0E+05,1.5E+05,1.5E+05,1.5E+05,1.5E+05,1.6E+05,1.7E+05,1.5E+05,1.4E+05,1.3E+05,1.2E+05,1.1E+05,1.0E+05,1.1E+05,36.7,6.5,19.8,20.8,30.9,18.6,,,
,Name,Molecular Weight,RT [min],DeltaMass [ppm],DBID,Reference List Name,mzLogic Score,ChemSpider ID,KEGG,HMDB,Mass List Search Results ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Serotonin,176.0950,11.37,0.89,B007,RP_pos_2020,,5013,C00780,HMDB0000259,474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a076_RP,NG-Methyl-L-arginine,188.1274,3.88,0.3,0.4,0.2,-2.2,-5.2,-3.0,-2.3,-5.1,-2.9,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,2.122363201353540000000000000000E-06,6.654111224288760000000000000000E-12,4.911342410282510000000000000000E-08,4.895632299550810000000000000000E-07,5.053901741547410000000000000000E-12,9.256546287537210000000000000000E-08,9.1E+05,8.6E+05,7.3E+05,7.2E+05,9.4E+05,1.3E+06,7.2E+05,1.2E+06,2.5E+06,4.6E+06,4.6E+06,4.7E+06,3.4E+06,5.2E+06,4.3E+06,6.4E+06,3.1E+07,3.4E+07,3.6E+07,3.7E+07,2.0E+07,4.2E+07,3.0E+07,3.5E+07,9.4E+04,9.1E+04,8.7E+04,8.1E+04,8.5E+04,8.2E+04,8.4E+04,9.8,23.5,15.2,25.3,27.8,14.5,,,
,Name,Molecular Weight,RT [min],DeltaMass [ppm],DBID,Reference List Name,mzLogic Score,ChemSpider ID,KEGG,HMDB,Mass List Search Results ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NG-Methyl-L-arginine,188.1273,4.02,0.24,A106,RP_pos_2020,,117259,C03884,HMDB0029416,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NG-Methyl-L-arginine,188.1273,3.99,0.24,A106,RP_neg_2020,,117259,C03884,HMDB0029416,238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a077_RP,5-Hydroxyindole-3-acetic acid,191.0583,15.89,0.8,0.6,-0.2,1.3,4.2,2.9,1.6,5.3,3.7,6.865769131149970000000000000000E-01,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,1.885734744872570000000000000000E-04,1.624606432288220000000000000000E-11,2.462325232599480000000000000000E-08,7.605709907317210000000000000000E-05,2.920478673710630000000000000000E-12,1.289317652641840000000000000000E-09,4.0E+06,8.0E+06,4.1E+06,4.6E+06,3.3E+06,8.2E+06,4.4E+06,6.4E+06,1.3E+06,2.4E+06,1.7E+06,2.5E+06,1.5E+06,2.0E+06,1.9E+06,3.1E+06,2.0E+05,1.9E+05,2.7E+05,1.9E+05,2.4E+05,2.7E+05,1.8E+05,1.8E+05,1.2E+05,1.1E+05,1.1E+05,1.1E+05,9.9E+04,9.6E+04,9.9E+04,18.8,19.1,17.2,18.0,24.8,11.8,,,
,Name,Molecular Weight,RT [min],DeltaMass [ppm],DBID,Reference List Name,mzLogic Score,ChemSpider ID,KEGG,HMDB,Mass List Search Results ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5-Hydroxyindole-3-acetic acid,191.0582,15.88,0.27,C043,RP_pos_2020,,1760,C05635,HMDB0000763,593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5-Hydroxyindole-3-acetic acid,191.0582,16.00,0.27,C043,RP_neg_2020,,1760,C05635,HMDB0000763,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a078_RP,Prostaglandin D2,352.2252,24.82,0.5,-0.8,0.1,2.3,4.9,2.6,3.5,5.2,1.7,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,3.697444026093550000000000000000E-02,7.220189954015540000000000000000E-07,4.059637260994800000000000000000E-04,6.304200115236500000000000000000E-05,2.296159901497600000000000000000E-07,4.374102453890410000000000000000E-02,1.3E+06,9.3E+05,1.0E+06,1.3E+06,6.6E+05,2.1E+06,8.2E+05,1.2E+06,7.5E+05,3.1E+05,1.7E+05,1.0E+05,1.7E+05,4.8E+04,2.1E+05,1.2E+05,3.3E+04,3.8E+04,3.0E+04,3.3E+04,3.0E+04,3.3E+04,3.4E+04,3.5E+04,2.7E+04,3.4E+04,2.5E+04,2.4E+04,2.4E+04,2.3E+04,2.3E+04,7.1,5.8,79.6,87.0,34.7,29.4,,,
,Name,Molecular Weight,RT [min],DeltaMass [ppm],DBID,Reference List Name,mzLogic Score,ChemSpider ID,KEGG,HMDB,Mass List Search Results ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Prostaglandin D2,352.2250,24.90,0.60,F011,RP_neg_2020,,395250,C00696,HMDB0001403,430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,in-source prostaglandin D2,352.2250,24.89,0.60,,RP_neg_2020,,,,,432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,wrong mass Prostaglandin D2,352.2250,24.89,0.60,F011,RP_pos_2020,,395250,C00696,HMDB0001403,738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,in-source prostaglandin D2,352.2250,24.89,0.60,,RP_neg_2020,,,,,431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B079_RP,3-Hydroxybutyric acid,104.0474,11.06,1.0,0.0,-0.7,-2.4,-3.7,-1.3,-1.5,-2.1,-0.6,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,5.326368650733930000000000000000E-02,8.887543868724850000000000000000E-03,9.999999999961730000000000000000E-01,5.497816088406480000000000000000E-01,1.778104483382780000000000000000E-01,9.999999999925950000000000000000E-01,3.6E+05,5.2E+05,3.0E+05,6.5E+05,2.9E+05,6.2E+05,4.8E+05,6.9E+05,4.6E+06,3.0E+06,1.2E+06,1.0E+06,2.3E+06,2.2E+06,1.2E+06,1.3E+06,7.3E+06,6.1E+06,6.8E+06,3.6E+06,2.0E+06,1.8E+06,7.1E+05,8.1E+05,6.9E+04,3.8E+05,3.9E+05,8.4E+04,3.2E+05,3.8E+05,3.4E+05,76.0,79.3,47.5,68.5,11.6,24.2,,,
,Name,Molecular Weight,DeltaMass [ppm],mzCloud ID,KEGG ID,Match,Confidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3-Hydroxybutyric acid,104.0473,0.75,Reference-199,,90.406749,9.52033745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B080_RP,Nicotinamide,122.0481,7.14,0.1,0.2,0.1,2.1,2.7,0.6,2.0,2.7,0.7,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,8.117686303027500000000000000000E-01,3.662348545062600000000000000000E-01,9.999999999961730000000000000000E-01,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,9.999999999925950000000000000000E-01,1.5E+09,6.6E+06,1.6E+09,1.6E+09,1.7E+09,1.8E+09,1.5E+09,1.6E+09,3.7E+08,4.4E+08,3.3E+08,3.7E+08,3.5E+08,4.0E+08,3.7E+08,4.6E+08,2.4E+08,2.3E+08,2.4E+08,2.2E+08,2.1E+08,3.8E+08,2.8E+08,2.7E+08,9.6E+06,1.0E+07,2.8E+05,8.7E+06,7.7E+06,7.2E+06,2.7E+05,26.1,12.5,10.2,5.8,66.5,7.2,,,
,Name,Molecular Weight,DeltaMass [ppm],mzCloud ID,KEGG ID,Match,Confidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nicotinamide,122.0480,0.66,Reference-517,C00153,93.56769518,9.678384759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B081_RP,Pipecolic acid,129.0791,6.00,0.0,-0.4,-0.4,-2.0,-4.0,-2.0,-1.6,-3.6,-2.0,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,1.085157854661010000000000000000E-02,1.147809009980280000000000000000E-06,2.076862904084230000000000000000E-03,1.349919962747240000000000000000E-02,2.659696930086130000000000000000E-06,5.410538981276110000000000000000E-03,1.5E+07,1.7E+07,1.4E+07,1.5E+07,1.5E+07,7.0E+06,1.5E+07,1.4E+07,5.3E+07,4.7E+07,6.3E+07,4.3E+07,2.6E+07,2.1E+07,7.5E+07,8.5E+07,3.3E+08,2.2E+08,2.7E+08,2.0E+08,2.0E+08,1.6E+08,1.5E+08,1.1E+08,1.2E+06,8.7E+05,1.0E+06,1.0E+05,8.1E+05,7.1E+05,1.2E+05,28.6,32.7,55.1,38.1,33.5,4.3,,,
,Name,Molecular Weight,DeltaMass [ppm],mzCloud ID,KEGG ID,Match,Confidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L(-)-Pipecolinic acid,129.0790,1.18,Reference-1813,C00408,80.3213175,9.016065875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-(+)-Pipecolinic acid,129.0790,1.18,Reference-1782,,81.86565505,9.093282752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pipecolic acid,129.0790,1.18,Reference-548,C00408,88.01760565,9.400880282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B082_RP,Creatine,131.0695,4.50,0.1,-0.3,-0.4,0.7,0.8,0.1,1.0,1.3,0.2,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,2.578679547634640000000000000000E-04,4.118564308501680000000000000000E-05,9.999999999961730000000000000000E-01,2.732716785320570000000000000000E-06,2.620746286978860000000000000000E-07,9.345102693624570000000000000000E-01,2.0E+10,2.7E+10,2.4E+10,2.3E+10,2.2E+10,2.0E+10,2.1E+10,2.3E+10,1.4E+10,1.1E+10,1.2E+10,1.0E+10,1.3E+10,1.1E+10,1.4E+10,1.2E+10,1.4E+10,1.3E+10,1.4E+10,9.7E+09,1.2E+10,9.3E+09,1.1E+10,9.5E+09,1.4E+06,1.1E+06,7.9E+05,6.7E+05,1.1E+06,9.4E+05,8.2E+05,14.6,12.6,8.2,7.8,12.0,7.2,,,
,Name,Molecular Weight,DeltaMass [ppm],mzCloud ID,KEGG ID,Match,Confidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Creatine,131.0695,0.27,Reference-357,C00300,96.33361084,77.42910225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B083_RP,Adenine,135.0547,6.02,0.1,0.1,0.1,1.2,1.7,0.5,1.2,1.6,0.5,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,3.629651900501280000000000000000E-03,2.889475888144090000000000000000E-05,2.600704783784910000000000000000E-01,3.925174342560110000000000000000E-03,7.841604304480990000000000000000E-05,5.450003917812650000000000000000E-01,9.5E+07,8.2E+07,1.0E+08,1.0E+08,9.4E+07,9.8E+07,8.8E+07,1.0E+08,6.3E+07,4.8E+07,3.8E+07,4.1E+07,3.5E+07,4.3E+07,4.4E+07,4.6E+07,2.3E+07,2.1E+07,3.2E+07,3.1E+07,3.9E+07,5.2E+07,2.7E+07,3.3E+07,6.4E+05,4.6E+05,7.1E+05,7.3E+05,8.1E+05,7.0E+05,9.6E+05,36.7,23.6,6.1,28.5,10.3,7.5,,,
,Name,Molecular Weight,DeltaMass [ppm],mzCloud ID,KEGG ID,Match,Confidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Adenine,135.0545,1.19,Reference-296,C00147,83.02493583,9.151246791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B084_RP,g-Butyrobetaine,145.1103,4.57,-0.2,-0.5,-0.3,0.2,1.7,1.5,0.5,1.8,1.3,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,2.889475888144090000000000000000E-05,4.084283263643240000000000000000E-04,7.025019034199440000000000000000E-01,5.869075983771840000000000000000E-05,2.612032514811580000000000000000E-03,1.0E+08,9.1E+07,9.8E+07,9.2E+07,9.7E+07,8.7E+07,1.1E+08,6.4E+07,1.0E+08,6.6E+07,6.7E+07,5.9E+07,7.8E+07,4.8E+07,9.3E+07,7.9E+07,4.7E+07,4.2E+07,3.5E+07,2.6E+07,2.8E+07,2.6E+07,2.6E+07,2.3E+07,1.1E+05,1.1E+05,1.0E+05,1.0E+05,9.4E+04,9.5E+04,9.9E+04,29.8,28.6,20.3,18.9,15.5,6.3,,,
,Name,Molecular Weight,DeltaMass [ppm],mzCloud ID,KEGG ID,Match,Confidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Acetylcholine,145.1103,0.18,Reference-885,C01996,89.72735718,9.486367859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B085_RP,Acetylcholine,145.1103,4.75,0.1,4.1,0.2,6.3,7.3,1.0,2.3,7.2,4.9,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,1.112946998181820000000000000000E-03,3.380570721432930000000000000000E-05,6.683307083970670000000000000000E-01,8.444493186123210000000000000000E-02,2.968163937745880000000000000000E-05,1.480555602980780000000000000000E-02,6.8E+07,1.3E+08,8.8E+07,5.7E+07,9.8E+07,8.8E+07,6.1E+07,7.8E+07,9.5E+05,2.6E+07,1.6E+07,1.5E+07,1.0E+06,1.8E+07,5.7E+05,9.0E+05,5.3E+05,1.0E+06,4.8E+05,5.8E+05,3.9E+05,2.3E+05,7.2E+05,5.7E+05,1.8E+05,1.5E+05,1.5E+05,2.7E+05,2.0E+05,2.6E+05,1.6E+05,54.2,26.2,69.6,163.3,36.1,21.8,,,
,Name,Molecular Weight,DeltaMass [ppm],mzCloud ID,KEGG ID,Match,Confidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Acetylcholine,145.1103,0.37,Reference-885,C01996,91.15641844,9.557820922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B086_RP,Methionine,149.0512,6.85,0.1,0.6,0.0,-0.3,-0.9,-0.7,-0.8,-0.9,-0.1,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,3.789542923286410000000000000000E-03,2.549235564439200000000000000000E-02,4.381427509407320000000000000000E-02,2.573919158757090000000000000000E-02,9.999999999925950000000000000000E-01,1.7E+08,1.8E+08,2.0E+08,1.4E+08,1.3E+08,2.8E+08,1.5E+08,1.6E+08,2.0E+08,3.5E+08,2.1E+08,2.7E+08,1.9E+08,3.1E+08,1.4E+08,2.6E+08,3.2E+08,3.0E+08,2.6E+08,2.6E+08,3.0E+08,3.3E+08,3.2E+08,3.1E+08,2.6E+05,2.5E+05,2.5E+05,2.3E+05,2.0E+05,2.0E+05,2.0E+05,9.9,9.7,13.9,16.6,33.1,18.0,,,
,Name,Molecular Weight,DeltaMass [ppm],mzCloud ID,KEGG ID,Match,Confidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L-(-)-Methionine,149.0511,0.75,Reference-1544,C00073,87.93012226,72.67027463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Methionine,149.0511,0.75,Reference-486,C01733,90.90153176,76.86439058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B087_RP,L-Cysteinesulfinic acid,153.0096,4.51,1.0,-1.2,2.3,-2.1,-3.2,-1.1,0.1,-4.5,-4.6,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,4.497399019530190000000000000000E-01,2.031474735871070000000000000000E-02,7.746813554169670000000000000000E-01,1.000000000000000000000000000000E+00,1.514678343473620000000000000000E-02,1.670680805981020000000000000000E-02,4.9E+05,1.0E+06,3.2E+05,8.2E+05,8.5E+05,4.4E+06,7.8E+05,1.5E+06,2.9E+06,1.2E+06,2.6E+06,7.7E+05,7.5E+05,1.2E+06,3.7E+06,4.7E+06,6.0E+06,2.3E+07,3.0E+06,2.3E+06,8.8E+06,3.6E+07,5.7E+06,3.3E+07,1.1E+05,1.1E+05,6.8E+04,6.8E+04,5.7E+04,5.8E+04,9.0E+04,65.0,40.7,93.6,50.1,86.6,40.7,,,
